539,tape,,n.,"带子, 带, 录音带, 磁带"
540,taste,,v.,"品尝, 辨味"
541,taxi,,n.,出租汽车
542,tea,,a,"茶, 茶树, 茶叶"
543,teacher,,n.,教师
544,telephone,,n./v.,"电话, 打电话"
545,television,,n.,"电视, 电视机"
546,temple,,n.,"庙, 寺, 神殿"
547,term,,n.,学期
548,thank,,a/v.,感谢
549,theatre,,n.,"剧场, 戏院,"
550,then,,adv.,"当时, 在那时, 那么"
551,there,,adv.,在那里
552,thick,,adj.,"厚的, 粗的, 稠的"
553,thing,,n.,"东西, 物"
554,through,,prep.,通过、穿过
555,throw,,v.,扔、投掷
556,thunder,,n.,雷、雷声
557,Thursday,,n.,星期四
558,tie,,v.,"带子, 线, 鞋带"
559,tiger,,a,老虎
560,time,,n.,"时间, 时侯"
561,timetable,,a,时间表
562,tired,,adj.,"疲劳的, 累的, 疲倦的"
563,to,,prep.,"向, 往, 给...,于..."
564,today,,adv.,"今天, 现今"
565,toe,,n.,"趾, 脚趾, 足尖"
566,toilet,,n.,"盥洗室, 梳洗"
567,too,,adv.,"也, 太(过份)"
568,tooth,,n.,牙齿
569,top,,n.,"顶部, 顶端, 极点"
570,touch,,v.,"接触, 触摸"
571,tower,,n.,塔
572,toy,,a,玩具
573,train,,n.,"火车, 列车"
574,tram,,a,"有轨电车, 电车轨道"
575,tree,,n.,"树, 木料"
576,triangle,,n.,三角形
577,try,,v.,"试, 试图, 努力"
578,T-shirt,,n.,圆领汗衫
579,Tuesday,,n.,星期二
580,ugly,,adj.,"丑陋的, 难看的"
581,umbrella,,n.,"伞, 雨伞"
582,uncle,,n.,"伯父, 叔父, 姨丈"
583,under,,prep.,在...之下
584,underground   ,,n.,"地下的, 地铁"
585,uniform,,a,制服
586,up,,prep./adv.,"向上, 在上"
587,use,,v.,"使用, 利用"
588,van,,a,有篷货车
589,vegetable,,n.,"蔬菜, 植物"
590,very,,adv.,很
591,violin,，,n.,"小提琴, 小提琴手"
592,visit,,n./v.,"访问, 参观"
593,wait,,v.,"等待, 等候"
594,waiter,,n.,"侍者, 服务员"
595,walk,,v.,"步, 行, 走"
596,want,,v.,"想要, 需要"
597,warm,,adj.,"暖和的, 暖的, 温暖的"
598,wash,,v.,"洗, 洗涤"
599,watch,,v.,"观看, 注视,"
600,water,,n.,水
601,wave,,n/v.,"波, 波浪;(挥手)示意"
602,way,,n.,"路, 路线, 路途"
603,wear,,v.,"穿, 戴"
604,weather,,n.,"天气, 气候"
605,Wednesday,,n.,星期三
606,week,,n.,"星期, 周"
607,welcome,,adj.,欢迎
